,country,city,lat,lon,date,cloudiness,humidity,max_temp,wind_speed
243,AR,rio cuarto,-33.1307,-64.3499,1643499105,0,41,80.37,13.8
244,MV,hithadhoo,-0.6,73.0833,1643499105,94,70,80.69,4.16
245,US,gardiner,44.2301,-69.7753,1643499105,100,86,13.64,8.99
246,US,palmer,42.1584,-72.3287,1643499106,100,76,15.49,5.01
247,BR,diamantino,-14.4086,-56.4461,1643499106,100,95,73.15,3.69
248,MR,nouadhibou,20.931,-17.0347,1643499106,94,77,64.38,17.27
249,NC,poum,-20.2333,164.0167,1643499107,57,77,81.28,8.14
250,PK,wana,32.2989,69.5725,1643499107,69,49,44.46,4.38
251,CV,praia,14.9215,-23.5087,1643499108,75,68,70.34,13.8
252,SD,kutum,14.2,24.6667,1643499108,19,21,51.15,7.31
253,BR,vila velha,-20.3297,-40.2925,1643499109,20,85,79.95,8.99
254,AU,broken hill,-31.95,141.4333,1643499109,13,54,80.31,12.66
255,MV,ugoofaaru,5.6667,73.0,1643499109,84,69,82.04,15.95
256,KM,mitsamiouli,-11.3847,43.2844,1643499110,50,76,80.04,3.91
257,RU,mezen,65.8522,44.24,1643499110,100,95,12.47,9.66
258,CD,kamina,-8.7386,24.9906,1643499110,100,96,64.54,4.05
259,AU,cooma,-36.2333,149.1333,1643499111,100,100,65.97,5.75
260,CA,chase,50.8165,-119.6857,1643499111,100,96,34.68,3.71
261,OM,sur,22.5667,59.5289,1643499111,3,51,69.94,1.97
262,MX,tulancingo,20.0833,-98.3667,1643499112,71,94,45.07,5.23
263,MU,grand gaube,-20.0064,57.6608,1643499112,95,77,79.2,1.01
264,AR,comodoro rivadavia,-45.8667,-67.5,1643499001,0,18,82.26,25.32
265,US,galveston,29.3669,-94.9669,1643499113,0,55,63.18,4.0
266,RU,revda,56.801,59.9303,1643499113,96,99,-13.99,1.54
267,SY,salamiyah,35.0113,37.0532,1643499113,37,80,39.36,5.37
268,GQ,luba,3.4568,8.5547,1643499114,94,73,81.57,4.68
269,NZ,kaeo,-35.1,173.7833,1643499114,80,67,73.33,12.93
270,TO,neiafu,-18.65,-173.9833,1643499114,79,71,82.81,11.88
271,ES,muros,42.7762,-9.0603,1643499175,19,77,50.5,4.47
272,CN,binzhou,37.3667,118.0167,1643499175,0,47,27.21,3.56
273,US,nome,64.5011,-165.4064,1643499175,0,64,-9.33,3.44
274,PH,gigmoto,13.7796,124.39,1643499176,29,82,81.25,6.82
275,AR,neuquen,-38.9516,-68.0591,1643499176,0,16,91.29,12.66
276,RU,orlik,52.5178,99.825,1643499176,73,94,-27.67,2.55
277,SA,faya,18.3851,42.4509,1643499177,1,83,53.71,5.75
278,MX,guerrero negro,27.9769,-114.0611,1643499177,25,32,67.05,10.58
279,GB,winchester,51.0651,-1.3187,1643499177,20,81,44.47,3.0
280,SB,buala,-8.145,159.5921,1643499178,100,80,82.45,8.28
281,CA,shelburne,44.0787,-80.2041,1643499178,5,99,6.69,5.28
282,ID,ambon,-3.6954,128.1814,1643499178,40,78,82.54,8.05
283,CA,la ronge,55.1001,-105.2842,1643499068,100,72,10.65,3.44
284,MW,nsanje,-16.92,35.262,1643499179,4,98,71.6,4.0
285,US,griffith,41.5284,-87.4237,1643499179,40,63,22.12,4.61
286,BB,bathsheba,13.2167,-59.5167,1643499179,40,73,77.61,17.27
287,GR,koroni,36.8,21.95,1643499180,99,68,49.71,10.89
288,IN,shaikhpura,25.15,85.85,1643499180,0,74,47.95,7.43
289,CN,shenjiamen,29.9576,122.298,1643499180,100,95,40.05,18.79
290,MY,miri,4.4148,114.0089,1643499181,40,94,77.14,2.3
291,MR,atar,20.5169,-13.0499,1643499066,100,21,73.76,5.21
292,PG,kavieng,-2.5744,150.7967,1643499181,100,72,83.59,5.66
293,US,spearfish,44.4908,-103.8594,1643499181,0,23,46.27,10.36
294,AU,cairns,-16.9167,145.7667,1643499182,40,78,85.1,8.05
295,IN,tezu,27.9167,96.1667,1643499182,0,51,48.92,3.67
296,CL,coquimbo,-29.9533,-71.3436,1643499183,40,77,65.93,12.66
297,IS,hofn,64.2539,-15.2082,1643499183,34,62,31.06,9.28
298,PG,samarai,-10.6167,150.6667,1643499183,100,75,81.21,6.35
299,AU,mildura,-34.2,142.15,1643499103,0,69,79.07,6.91
300,MA,asilah,35.465,-6.0348,1643499184,48,82,58.96,11.7
301,SO,odweyne,9.4092,45.064,1643499185,48,34,60.57,10.45
302,BR,trairi,-3.2778,-39.2689,1643499185,90,74,78.42,8.01
303,MX,cabo san lucas,22.8909,-109.9124,1643499185,0,53,77.61,5.99
304,RU,dukat,62.55,155.55,1643499186,100,99,-7.87,3.58
305,US,san patricio,28.017,-97.5169,1643499186,59,39,65.53,10.02
306,CO,abrego,8.0807,-73.2205,1643499186,10,81,63.0,4.41
307,SJ,longyearbyen,78.2186,15.6401,1643499187,0,66,8.44,16.11
308,IN,joshimath,30.5667,79.5667,1643499187,2,41,36.81,8.41
309,QA,doha,25.2867,51.5333,1643499031,0,67,60.78,8.05
310,TL,airai,-8.9266,125.4092,1643499187,100,83,64.87,3.71
311,BR,itarema,-2.9248,-39.9167,1643499188,98,73,78.66,9.75
312,AU,port augusta,-32.5,137.7667,1643499188,38,34,88.7,6.58
313,SD,sinnar,13.5691,33.5672,1643499189,10,22,67.24,13.29
314,CN,korla,41.7597,86.1469,1643499189,100,51,23.61,7.14
315,RU,sladkovo,55.5284,70.3385,1643499250,100,91,2.21,7.78
316,IN,pali,25.7667,73.3333,1643499250,0,30,55.42,2.98
317,BR,caravelas,-17.7125,-39.2481,1643499250,0,85,78.87,9.95
318,SO,bosaso,11.2842,49.1816,1643499251,96,70,71.29,4.65
319,ZM,chadiza,-14.0678,32.4392,1643499251,100,98,65.34,2.08
320,CN,beihai,21.4833,109.1,1643499251,100,77,50.92,17.69
321,AU,maningrida,-12.0667,134.2667,1643499252,100,78,81.19,15.39
322,PH,manaring,17.1729,121.9025,1643499252,72,90,76.51,1.48
323,RU,vizinga,61.0749,50.1031,1643499252,100,95,10.74,5.61
324,MG,betafo,-19.8333,46.85,1643499253,38,90,59.61,0.92
325,ML,taoudenni,22.6783,-3.9836,1643499253,96,11,72.14,13.65
326,EG,aswan,24.0934,32.907,1643499253,0,49,47.5,5.75
327,CD,kalemie,-5.9475,29.1947,1643499254,100,90,69.64,4.79
328,BR,mazagao,-0.115,-51.2894,1643499254,100,97,78.85,3.04
329,CL,valparaiso,-33.0393,-71.6273,1643498952,0,61,71.83,11.5
330,CL,ancud,-41.8697,-73.8203,1643499255,71,93,59.43,13.85
331,AU,port hedland,-20.3167,118.5667,1643499094,100,65,84.25,12.66
332,MN,baruun-urt,46.6806,113.2792,1643499255,20,85,-8.66,3.27
333,RU,kosh-agach,50.0,88.6667,1643499256,38,82,-25.28,2.57
334,OM,salalah,17.0151,54.0924,1643499256,0,73,69.89,3.44
335,UA,pokrovsk,48.282,37.1758,1643499257,97,95,26.28,11.77
336,MG,sambava,-14.2667,50.1667,1643499257,39,90,74.48,5.41
337,KZ,zyryanovsk,49.7386,84.2719,1643499257,89,97,-16.01,1.7
